City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current status,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
140,avarua,-21.21,-159.78,73.4,83,27,4.7,light rain,0.13,0.0
141,haapiti,-17.57,-149.87,78.8,78,40,3.36,scattered clouds,0.0,0.0
142,leningradskiy,69.38,178.42,18.68,88,65,8.03,broken clouds,0.0,0.0
143,saint-joseph,43.56,6.97,55.99,81,90,3.36,overcast clouds,0.0,0.0
144,sulangan,11.14,123.72,83.19,78,100,11.86,overcast clouds,0.0,0.0
145,moose factory,51.26,-80.61,8.6,78,90,9.17,light snow,0.0,0.0
146,kavaratti,10.57,72.64,87.8,70,40,6.93,scattered clouds,0.0,0.0
147,chuy,-33.69,-53.46,59.54,85,5,9.42,clear sky,0.0,0.0
148,shimoda,34.7,138.93,66.2,72,75,17.22,broken clouds,0.0,0.0
149,port hardy,50.7,-127.42,48.2,87,90,8.05,overcast clouds,0.0,0.0
150,huejuquilla el alto,22.63,-103.9,60.89,76,0,2.51,clear sky,0.0,0.0
151,necochea,-38.55,-58.74,55.99,95,44,7.0,scattered clouds,0.0,0.0
152,bilibino,68.06,166.44,23.0,71,92,4.61,overcast clouds,0.0,0.0
153,tautira,-17.73,-149.15,78.8,78,40,3.36,scattered clouds,0.0,0.0
154,rocha,-34.48,-54.34,51.12,96,0,4.59,clear sky,0.0,0.0
155,sabla,12.75,4.71,78.91,30,100,6.76,overcast clouds,0.0,0.0
156,blagoveshchensk,50.29,127.53,26.6,73,75,2.98,broken clouds,0.0,0.0
157,puerto cabezas,14.04,-83.39,73.09,99,95,3.38,overcast clouds,0.0,0.0
158,barinas,8.64,-70.23,74.26,89,94,4.7,overcast clouds,0.0,0.0
159,mopipi,-21.2,24.86,79.25,54,100,8.72,overcast clouds,0.0,0.0
160,barrow,-38.31,-60.23,56.12,91,83,11.56,broken clouds,0.0,0.0
161,lebu,8.96,38.73,60.71,59,74,4.09,broken clouds,0.0,0.0
162,daru,-9.07,143.21,79.61,85,100,7.58,light rain,0.44,0.0
163,port hedland,-20.31,118.58,100.4,24,1,14.99,clear sky,0.0,0.0
164,biak,-0.91,122.88,83.28,68,2,8.1,clear sky,0.0,0.0
165,yellowknife,62.45,-114.38,16.0,85,40,6.93,scattered clouds,0.0,0.0
166,bandar-e lengeh,26.56,54.88,82.4,28,0,9.17,clear sky,0.0,0.0
167,nouadhibou,20.93,-17.03,69.78,50,38,18.92,scattered clouds,0.0,0.0
168,souillac,45.6,-0.6,42.8,93,90,4.7,overcast clouds,0.0,0.0
169,ucluelet,48.94,-125.55,48.0,92,100,4.47,overcast clouds,0.0,0.0
170,dingle,11.0,122.67,82.53,79,99,4.14,light rain,2.25,0.0
171,enid,36.4,-97.88,59.0,100,90,16.11,overcast clouds,0.0,0.0
172,nabire,-3.36,135.5,90.66,48,85,5.5,overcast clouds,0.0,0.0
173,palmerston,-12.49,130.99,98.01,38,0,13.87,clear sky,0.0,0.0
174,alto araguaia,-17.32,-53.22,68.61,84,92,3.44,overcast clouds,0.0,0.0
175,xuddur,4.12,43.89,78.1,71,21,12.71,few clouds,0.0,0.0
176,omsukchan,62.53,155.8,-0.28,96,100,3.13,light snow,0.0,0.19
177,kaitangata,-46.28,169.85,48.0,58,100,8.99,overcast clouds,0.0,0.0
178,sioux lookout,50.1,-91.92,5.0,65,90,8.05,light snow,0.0,0.0
179,mount gambier,-37.83,140.78,77.0,27,93,19.46,overcast clouds,0.0,0.0
180,acapulco,16.86,-99.88,73.4,94,90,6.93,thunderstorm with light rain,0.0,0.0
181,vallenar,-28.58,-70.76,51.22,85,3,2.24,clear sky,0.0,0.0
182,olonets,60.98,32.97,37.29,98,100,4.52,overcast clouds,0.0,0.0
183,georgetown,6.8,-58.16,77.0,94,20,4.7,few clouds,0.0,0.0
184,sur,22.57,59.53,76.87,59,4,10.49,light rain,2.31,0.0
185,nuuk,64.17,-51.74,39.2,64,100,6.93,overcast clouds,0.0,0.0
186,hasaki,35.73,140.83,61.0,82,75,5.82,shower rain,0.0,0.0
187,takoradi,4.89,-1.75,78.31,85,100,6.24,overcast clouds,0.0,0.0
188,luanda,-8.83,13.24,82.4,74,75,5.82,broken clouds,0.0,0.0
189,cape town,-33.93,18.42,66.0,82,90,6.93,overcast clouds,0.0,0.0
190,aketi,2.74,23.78,74.25,92,81,1.43,broken clouds,0.0,0.0
191,burgersdorp,-30.99,26.32,66.02,52,22,8.37,few clouds,0.0,0.0
192,staropavlovskaya,43.85,43.63,42.8,87,0,2.24,clear sky,0.0,0.0
193,tuatapere,-46.13,167.69,50.0,64,70,8.01,light rain,0.12,0.0
194,juybar,36.64,52.91,64.4,55,0,4.7,clear sky,0.0,0.0
195,avera,33.19,-82.53,45.0,100,1,4.38,clear sky,0.0,0.0
196,nishihara,35.74,139.53,68.0,87,75,3.36,light intensity shower rain,0.0,0.0
197,hanmer springs,-42.52,172.83,42.28,94,100,2.93,light rain,0.25,0.0
198,new norfolk,-42.78,147.06,73.4,38,85,24.16,overcast clouds,0.0,0.0
199,soria,41.76,-2.46,37.0,88,100,1.01,overcast clouds,0.0,0.0
200,mehamn,71.03,27.85,26.6,73,40,17.22,scattered clouds,0.0,0.0
201,ampanihy,-24.69,44.75,79.23,55,31,8.16,scattered clouds,0.0,0.0
202,egvekinot,66.32,-179.17,20.25,94,100,10.4,light snow,0.0,0.19
203,radnevo,42.29,25.93,57.99,100,90,1.9,fog,0.0,0.0
204,bonavista,48.65,-53.11,33.01,86,8,1.99,clear sky,0.0,0.0
205,hithadhoo,-0.6,73.08,83.41,68,100,7.34,overcast clouds,0.0,0.0
206,tiksi,71.64,128.87,-4.06,98,100,2.53,light snow,0.0,0.69
207,veraval,49.65,0.71,44.6,93,90,14.99,light rain,0.0,0.0
208,cap malheureux,-19.98,57.61,82.4,65,20,12.75,few clouds,0.0,0.0
209,kysyl-syr,63.9,122.77,-13.44,87,39,7.18,scattered clouds,0.0,0.0
210,adrar,27.87,-0.29,55.4,37,2,17.22,clear sky,0.0,0.0
211,taoudenni,22.68,-3.98,57.24,30,0,2.77,clear sky,0.0,0.0
212,raboso,18.57,-98.45,61.0,80,9,3.11,clear sky,0.0,0.0
213,port keats,-14.25,129.55,91.78,47,24,12.75,few clouds,0.0,0.0
214,praia da vitoria,38.73,-27.07,57.2,93,20,4.12,few clouds,0.0,0.0
215,sumter,33.92,-80.34,43.0,100,1,4.76,clear sky,0.0,0.0
216,san lorenzo,13.43,-87.45,72.57,91,88,2.55,light rain,0.19,0.0
217,huainan,32.59,117.01,75.83,13,0,4.0,clear sky,0.0,0.0
218,taybad,34.74,60.78,50.4,25,0,28.45,clear sky,0.0,0.0
219,florianopolis,-27.6,-48.55,72.0,94,75,11.41,broken clouds,0.0,0.0
220,byron bay,-28.65,153.62,75.2,60,2,12.75,clear sky,0.0,0.0
221,mombasa,-4.05,39.67,77.0,100,90,10.29,moderate rain,0.0,0.0
222,pedernales,0.07,-80.05,72.12,87,95,3.71,light rain,0.38,0.0
223,soyo,-6.13,12.37,80.6,88,40,3.71,scattered clouds,0.0,0.0
224,san policarpo,12.18,125.51,79.18,86,100,10.98,moderate rain,5.06,0.0
225,esperance,-33.86,121.89,62.6,45,93,18.34,overcast clouds,0.0,0.0
226,dispur,26.14,91.79,84.2,70,40,8.05,haze,0.0,0.0
227,anori,-3.74,-61.66,75.9,92,94,1.25,overcast clouds,0.0,0.0
228,touros,-5.2,-35.46,73.4,88,75,4.7,broken clouds,0.0,0.0
229,lesosibirsk,58.22,92.49,-4.4,90,92,8.23,overcast clouds,0.0,0.0
